"VARIABLE_NAME","VARIABLE_VALUE"
"INNODB_STATUS_OUTPUT_LOCKS","OFF"
"MAX_STATEMENT_TIME","0.000000"
"QUERY_PREALLOC_SIZE","24576"
"PERFORMANCE_SCHEMA_SETUP_ACTORS_SIZE","100"
"SORT_BUFFER_SIZE","2097152"
"HAVE_QUERY_CACHE","YES"
"INNODB_ROLLBACK_ON_TIMEOUT","OFF"
"CHARACTER_SET_CLIENT","latin1"
"STANDARD_COMPLIANT_CTE","ON"
"COLUMN_COMPRESSION_ZLIB_WRAP","OFF"
"ARIA_REPAIR_THREADS","1"
"CHARACTER_SET_SYSTEM","utf8"
"JOIN_BUFFER_SPACE_LIMIT","2097152"
"SLAVE_MAX_ALLOWED_PACKET","1073741824"
"INNODB_FILE_FORMAT",""
"MAX_CONNECT_ERRORS","100"
"PROGRESS_REPORT_TIME","5"
"CHARACTER_SETS_DIR","/opt/hostedtoolcache/mariadb/10.4.31/x64/share/charsets/"
"REPLICATE_WILD_DO_TABLE",""
"INNODB_VERSION","10.4.31"
"RELAY_LOG_PURGE","ON"
"MAX_CONNECTIONS","151"
"CHARACTER_SET_SERVER","latin1"
"PERFORMANCE_SCHEMA_MAX_FILE_CLASSES","50"
"RAND_SEED1","80476367"
"PERFORMANCE_SCHEMA_MAX_THREAD_CLASSES","50"
"SESSION_TRACK_SCHEMA","ON"
"TCP_KEEPALIVE_INTERVAL","0"
"REPLICATE_IGNORE_TABLE",""
"FT_MAX_WORD_LEN","84"
"BINLOG_DIRECT_NON_TRANSACTIONAL_UPDATES","OFF"
"DELAYED_QUEUE_SIZE","1000"
"INNODB_STRICT_MODE","ON"
"QUERY_CACHE_LIMIT","1048576"
"DEFAULT_STORAGE_ENGINE","InnoDB"
"MAX_DIGEST_LENGTH","1024"
"WSREP_REJECT_QUERIES","NONE"
"HAVE_GEOMETRY","YES"
"PERFORMANCE_SCHEMA_USERS_SIZE","-1"
"LOG_BIN_COMPRESS","OFF"
"LOG_SLOW_VERBOSITY",""
"SYSTEM_VERSIONING_ASOF","DEFAULT"
"THREAD_POOL_IDLE_TIMEOUT","60"
"SLAVE_PARALLEL_THREADS","0"
"INNODB_LOCK_SCHEDULE_ALGORITHM","fcfs"
"MAX_RELAY_LOG_SIZE","1073741824"
"WSREP_SLAVE_FK_CHECKS","ON"
"DATADIR","/tmp/actions-setup-mysql-etr4bJ/var/"
"TABLE_OPEN_CACHE_INSTANCES","8"
"SQL_BUFFER_RESULT","OFF"
"RELAY_LOG_INFO_FILE","relay-log.info"
"PERFORMANCE_SCHEMA_EVENTS_STATEMENTS_HISTORY_SIZE","-1"
"INNODB_AUTOINC_LOCK_MODE","1"
"LOG_SLOW_ADMIN_STATEMENTS","ON"
"LC_MESSAGES","en_US"
"MAX_HEAP_TABLE_SIZE","16777216"
"INNODB_MAX_PURGE_LAG_WAIT","4294967295"
"KEY_CACHE_DIVISION_LIMIT","100"
"INNODB_BUFFER_POOL_FILENAME","ib_buffer_pool"
"PERFORMANCE_SCHEMA_MAX_STATEMENT_CLASSES","202"
"INNODB_MAX_PURGE_LAG_DELAY","0"
"MAX_BINLOG_CACHE_SIZE","18446744073709547520"
"INNODB_BUFFER_POOL_DUMP_NOW","OFF"
"TMP_TABLE_SIZE","16777216"
"INNODB_BACKGROUND_SCRUB_DATA_INTERVAL","604800"
"LONG_QUERY_TIME","10.000000"
"INNODB_STATUS_OUTPUT","OFF"
"MAX_USER_CONNECTIONS","0"
"INNODB_UNDO_LOG_TRUNCATE","OFF"
"INNODB_PAGE_CLEANERS","1"
"INNODB_ADAPTIVE_HASH_INDEX","ON"
"OPTIMIZER_USE_CONDITION_SELECTIVITY","4"
"INNODB_ENCRYPT_LOG","OFF"
"GTID_SEQ_NO","0"
"EXTRA_MAX_CONNECTIONS","1"
"MAX_LENGTH_FOR_SORT_DATA","1024"
"STORED_PROGRAM_CACHE","256"
"FLUSH","OFF"
"SSL_CRL",""
"CHARACTER_SET_FILESYSTEM","binary"
"SLOW_QUERY_LOG","OFF"
"BIG_TABLES","OFF"
"MAX_SESSION_MEM_USED","9223372036854775807"
"PROXY_USER",""
"WSREP_DATA_HOME_DIR","/tmp/actions-setup-mysql-etr4bJ/var/"
"MAX_LONG_DATA_SIZE","16777216"
"INNODB_LOG_COMPRESSED_PAGES","ON"
"LOG_WARNINGS","2"
"INNODB_DISABLE_SORT_FILE_CACHE","OFF"
"PERFORMANCE_SCHEMA_SESSION_CONNECT_ATTRS_SIZE","-1"
"INNODB_ENCRYPTION_ROTATION_IOPS","100"
"EVENT_SCHEDULER","OFF"
"HAVE_DYNAMIC_LOADING","YES"
"REPORT_PORT","3306"
"WSREP_SST_METHOD","rsync"
"PLUGIN_DIR","/opt/hostedtoolcache/mariadb/10.4.31/x64/lib/plugin/"
"INNODB_PRINT_ALL_DEADLOCKS","OFF"
"WSREP_SR_STORE","table"
"INNODB_STATS_TRADITIONAL","ON"
"BINLOG_ANNOTATE_ROW_EVENTS","ON"
"LOG_SLOW_DISABLED_STATEMENTS","sp"
"LOG_BIN","OFF"
"INNODB_MAX_DIRTY_PAGES_PCT","75.000000"
"INNODB_FORCE_RECOVERY","0"
"MAX_DELAYED_THREADS","20"
"LC_TIME_NAMES","en_US"
"KEY_BUFFER_SIZE","134217728"
"MAX_BINLOG_SIZE","1073741824"
"INNODB_INSTANT_ALTER_COLUMN_ALLOWED","add_drop_reorder"
"SYSTEM_VERSIONING_ALTER_HISTORY","ERROR"
"PSEUDO_SLAVE_MODE","OFF"
"PERFORMANCE_SCHEMA_MAX_FILE_INSTANCES","-1"
"SYNC_RELAY_LOG","10000"
"CORE_FILE","OFF"
"INNODB_DEFAULT_ENCRYPTION_KEY_ID","1"
"DISCONNECT_ON_EXPIRED_PASSWORD","OFF"
"INNODB_MAX_UNDO_LOG_SIZE","10485760"
"LOG_BIN_COMPRESS_MIN_LEN","256"
"MAX_ROWID_FILTER_SIZE","131072"
"AUTO_INCREMENT_OFFSET","1"
"SLAVE_NET_TIMEOUT","60"
"QUERY_CACHE_SIZE","1048576"
"INNODB_STATS_SAMPLE_PAGES","8"
"OPTIMIZER_TRACE_MAX_MEM_SIZE","1048576"
"THREAD_POOL_PRIORITY","auto"
"SKIP_PARALLEL_REPLICATION","OFF"
"SECURE_FILE_PRIV",""
"METADATA_LOCKS_HASH_INSTANCES","8"
"INNODB_ADAPTIVE_FLUSHING_LWM","10.000000"
"BINLOG_COMMIT_WAIT_USEC","100000"
"INNODB_DEFRAGMENT_FREQUENCY","40"
"READ_BUFFER_SIZE","131072"
"SQL_WARNINGS","OFF"
"WSREP_IGNORE_APPLY_ERRORS","7"
"STRICT_PASSWORD_VALIDATION","ON"
"PID_FILE","/tmp/actions-setup-mysql-etr4bJ/tmp/mysqld.pid"
"INNODB_SYNC_ARRAY_SIZE","1"
"TLS_VERSION","TLSv1.1,TLSv1.2,TLSv1.3"
"WSREP_GTID_DOMAIN_ID","0"
"MIN_EXAMINED_ROW_LIMIT","0"
"THREAD_POOL_STALL_LIMIT","500"
"TMPDIR","/tmp/actions-setup-mysql-etr4bJ/tmp"
"PERFORMANCE_SCHEMA_MAX_SOCKET_INSTANCES","-1"
"FLUSH_TIME","0"
"TX_READ_ONLY","OFF"
"COLUMN_COMPRESSION_ZLIB_STRATEGY","DEFAULT_STRATEGY"
"INNODB_RANDOM_READ_AHEAD","OFF"
"THREAD_POOL_MAX_THREADS","65536"
"INNODB_UNDO_LOGS","128"
"HAVE_SSL","YES"
"PORT","3306"
"OLD_ALTER_TABLE","DEFAULT"
"INNODB_DEADLOCK_DETECT","ON"
"SSL_CAPATH",""
"LOG_BIN_TRUST_FUNCTION_CREATORS","OFF"
"VERSION_COMMENT","shogo82148/actions-setup-mysql@v1.23.0"
"INNODB_MONITOR_DISABLE",""
"MASTER_VERIFY_CHECKSUM","OFF"
"MYISAM_BLOCK_SIZE","1024"
"RPL_SEMI_SYNC_MASTER_ENABLED","OFF"
"MAX_BINLOG_STMT_CACHE_SIZE","18446744073709547520"
"OPTIMIZER_SELECTIVITY_SAMPLING_LIMIT","100"
"ENCRYPT_TMP_FILES","OFF"
"KEY_CACHE_AGE_THRESHOLD","300"
"INNODB_SPIN_WAIT_DELAY","4"
"BINLOG_COMMIT_WAIT_COUNT","0"
"INNODB_STATS_INCLUDE_DELETE_MARKED","OFF"
"DEFAULT_MASTER_CONNECTION",""
"INNODB_DEFRAGMENT_STATS_ACCURACY","0"
"VERSION_SSL_LIBRARY","OpenSSL 1.1.1v  1 Aug 2023"
"INNODB_LOCK_WAIT_TIMEOUT","50"
"OPTIMIZER_PRUNE_LEVEL","1"
"INNODB_OLD_BLOCKS_TIME","1000"
"VERSION_MALLOC_LIBRARY","system"
"TIMED_MUTEXES","OFF"
"RPL_SEMI_SYNC_SLAVE_TRACE_LEVEL","32"
"EXTERNAL_USER",""
"THREAD_POOL_SIZE","2"
"INNODB_COMPRESSION_FAILURE_THRESHOLD_PCT","5"
"OLD_PASSWORDS","OFF"
"LOCKED_IN_MEMORY","OFF"
"SKIP_NETWORKING","OFF"
"INTERACTIVE_TIMEOUT","28800"
"WSREP_SLAVE_UK_CHECKS","OFF"
"WSREP_MYSQL_REPLICATION_BUNDLE","0"
"INIT_CONNECT",""
"INNODB_PREFIX_INDEX_CLUSTER_OPTIMIZATION","OFF"
"TABLE_DEFINITION_CACHE","400"
"NET_RETRY_COUNT","10"
"INNODB_FORCE_PRIMARY_KEY","OFF"
"SLAVE_SKIP_ERRORS","OFF"
"BINLOG_ROW_IMAGE","FULL"
"INNODB_BUFFER_POOL_DUMP_PCT","25"
"SLAVE_PARALLEL_WORKERS","0"
"INNODB_ENCRYPT_TABLES","OFF"
"PERFORMANCE_SCHEMA_MAX_SOCKET_CLASSES","10"
"COLLATION_DATABASE","latin1_swedish_ci"
"METADATA_LOCKS_CACHE_SIZE","1024"
"INNODB_MONITOR_ENABLE",""
"LAST_INSERT_ID","0"
"INNODB_LOG_BUFFER_SIZE","16777216"
"HOSTNAME","fv-az400-771"
"HOST_CACHE_SIZE","279"
"DEFAULT_PASSWORD_LIFETIME","0"
"INNODB_MAX_PURGE_LAG","0"
"MULTI_RANGE_COUNT","256"
"MYISAM_MAX_SORT_FILE_SIZE","9223372036853727232"
"THREAD_CACHE_SIZE","151"
"INNODB_LRU_SCAN_DEPTH","1024"
"VERSION_SOURCE_REVISION","2aea9387497cecb5668ef605b8f80886f9de812c"
"WSREP_LOG_CONFLICTS","OFF"
"LAST_GTID",""
"OLD_MODE",""
"QUERY_ALLOC_BLOCK_SIZE","16384"
"DEFAULT_REGEX_FLAGS",""
"BINLOG_FORMAT","MIXED"
"HISTOGRAM_TYPE","DOUBLE_PREC_HB"
"ANALYZE_SAMPLE_PERCENTAGE","100.000000"
"HAVE_COMPRESS","YES"
"KEEP_FILES_ON_CREATE","OFF"
"INNODB_USE_ATOMIC_WRITES","ON"
"FT_BOOLEAN_SYNTAX","+ -><()~*:""&|"
"PROXY_PROTOCOL_NETWORKS",""
"SLAVE_DDL_EXEC_MODE","IDEMPOTENT"
"INNODB_DOUBLEWRITE","ON"
"CHARACTER_SET_DATABASE","latin1"
"INNODB_STATS_PERSISTENT","ON"
"DATE_FORMAT","%Y-%m-%d"
"DEFAULT_WEEK_FORMAT","0"
"QUERY_CACHE_WLOCK_INVALIDATE","OFF"
"INNODB_CHANGE_BUFFER_MAX_SIZE","25"
"TIMESTAMP","1694249552.031639"
"INNODB_DEFAULT_ROW_FORMAT","dynamic"
"SLAVE_COMPRESSED_PROTOCOL","OFF"
"INNODB_USE_NATIVE_AIO","OFF"
"PRELOAD_BUFFER_SIZE","32768"
"SOCKET","/tmp/actions-setup-mysql-etr4bJ/tmp/mysql.sock"
"RELAY_LOG_SPACE_LIMIT","0"
"INNODB_UNDO_TABLESPACES","0"
"REPORT_USER",""
"INNODB_BUF_DUMP_STATUS_FREQUENCY","0"
"ROWID_MERGE_BUFF_SIZE","8388608"
"DEADLOCK_SEARCH_DEPTH_SHORT","4"
"NET_BUFFER_LENGTH","16384"
"INNODB_FT_MIN_TOKEN_SIZE","3"
"LOG_ERROR",""
"INNODB_FT_USER_STOPWORD_TABLE",""
"REPLICATE_DO_TABLE",""
"SERVER_ID","1"
"OPTIMIZER_SWITCH","index_merge=on,index_merge_union=on,index_merge_sort_union=on,index_merge_intersection=on,index_merge_sort_intersection=off,engine_condition_pushdown=off,index_condition_pushdown=on,derived_merge=on,derived_with_keys=on,firstmatch=on,loosescan=on,materialization=on,in_to_exists=on,semijoin=on,partial_match_rowid_merge=on,partial_match_table_scan=on,subquery_cache=on,mrr=off,mrr_cost_based=off,mrr_sort_keys=off,outer_join_with_cache=on,semijoin_with_cache=on,join_cache_incremental=on,join_cache_hashed=on,join_cache_bka=on,optimize_join_buffer_size=on,table_elimination=on,extended_keys=on,exists_to_in=on,orderby_uses_equalities=on,condition_pushdown_for_derived=on,split_materialized=on,condition_pushdown_for_subquery=on,rowid_filter=on,condition_pushdown_from_having=on"
"ARIA_MAX_SORT_FILE_SIZE","9223372036853727232"
"TMP_DISK_TABLE_SIZE","18446744073709551615"
"INNODB_TEMP_DATA_FILE_PATH","ibtmp1:12M:autoextend"
"OPEN_FILES_LIMIT","32184"
"INNODB_SCRUB_LOG_SPEED","256"
"RPL_SEMI_SYNC_MASTER_TRACE_LEVEL","32"
"ARIA_SYNC_LOG_DIR","NEWFILE"
"TIME_FORMAT","%H:%i:%s"
"INNODB_FT_ENABLE_STOPWORD","ON"
"PROTOCOL_VERSION","10"
"INNODB_BACKGROUND_SCRUB_DATA_CHECK_INTERVAL","3600"
"LOWER_CASE_FILE_SYSTEM","OFF"
"ARIA_GROUP_COMMIT_INTERVAL","0"
"RELAY_LOG",""
"PROFILING_HISTORY_SIZE","15"
"GENERAL_LOG","OFF"
"INNODB_CHANGE_BUFFERING","all"
"WSREP_DEBUG","NONE"
"INNODB_STATS_MODIFIED_COUNTER","0"
"LOG_TC_SIZE","24576"
"BINLOG_OPTIMIZE_THREAD_SCHEDULING","ON"
"SLAVE_TRANSACTION_RETRY_INTERVAL","0"
"ENCRYPT_BINLOG","OFF"
"HAVE_CRYPT","YES"
"SQL_SELECT_LIMIT","18446744073709551615"
"WSREP_SLAVE_THREADS","1"
"ARIA_STATS_METHOD","nulls_unequal"
"HAVE_OPENSSL","YES"
"WSREP_START_POSITION","00000000-0000-0000-0000-000000000000:-1"
"WSREP_ON","OFF"
"INNODB_COMPRESSION_ALGORITHM","zlib"
"WAIT_TIMEOUT","28800"
"PLUGIN_MATURITY","gamma"
"SQL_SLAVE_SKIP_COUNTER","0"
"INNODB_PURGE_THREADS","4"
"SSL_CA","/tmp/actions-setup-mysql-etr4bJ/var/ca.pem"
"PROFILING","OFF"
"WSREP_SST_DONOR_REJECTS_QUERIES","OFF"
"ARIA_PAGECACHE_BUFFER_SIZE","134217728"
"RELAY_LOG_INDEX",""
"EXPENSIVE_SUBQUERY_LIMIT","100"
"GTID_IGNORE_DUPLICATES","OFF"
"INNODB_BUFFER_POOL_DUMP_AT_SHUTDOWN","ON"
"WSREP_NOTIFY_CMD",""
"SSL_CRLPATH",""
"WSREP_MAX_WS_ROWS","0"
"DEADLOCK_SEARCH_DEPTH_LONG","15"
"ENCRYPT_TMP_DISK_TABLES","OFF"
"MRR_BUFFER_SIZE","262144"
"BACK_LOG","80"
"INNODB_MAX_DIRTY_PAGES_PCT_LWM","0.000000"
"REPLICATE_WILD_IGNORE_TABLE",""
"IDLE_WRITE_TRANSACTION_TIMEOUT","0"
"GTID_BINLOG_STATE",""
"FOREIGN_KEY_CHECKS","ON"
"RELAY_LOG_BASENAME",""
"INNODB_MONITOR_RESET",""
"WSREP_CLUSTER_NAME","my_wsrep_cluster"
"INNODB_STATS_AUTO_RECALC","ON"
"LOG_BIN_INDEX",""
"INNODB_COMMIT_CONCURRENCY","0"
"NET_READ_TIMEOUT","30"
"INNODB_CONCURRENCY_TICKETS","5000"
"LOG_BIN_BASENAME",""
"INNODB_FATAL_SEMAPHORE_WAIT_THRESHOLD","600"
"MAX_JOIN_SIZE","18446744073709551615"
"INNODB_IDLE_FLUSH_PCT","100"
"PERFORMANCE_SCHEMA_MAX_FILE_HANDLES","32768"
"INNODB_FT_SORT_PLL_DEGREE","2"
"SLAVE_PARALLEL_MAX_QUEUED","131072"
"SESSION_TRACK_TRANSACTION_INFO","OFF"
"SECURE_AUTH","ON"
"INNODB_FILL_FACTOR","100"
"WSREP_PATCH_VERSION","wsrep_26.22"
"INNODB_ADAPTIVE_FLUSHING","ON"
"REPLICATE_IGNORE_DB",""
"INNODB_FILE_PER_TABLE","ON"
"IGNORE_BUILTIN_INNODB","OFF"
"EXTRA_PORT","0"
"TX_ISOLATION","REPEATABLE-READ"
"ARIA_BLOCK_SIZE","8192"
"RELAY_LOG_RECOVERY","OFF"
"THREAD_POOL_PRIO_KICKUP_TIMER","1000"
"SYNC_RELAY_LOG_INFO","10000"
"INNODB_DATA_HOME_DIR",""
"AUTO_INCREMENT_INCREMENT","1"
"INNODB_READ_IO_THREADS","4"
"INNODB_TABLE_LOCKS","ON"
"INNODB_WRITE_IO_THREADS","4"
"JOIN_CACHE_LEVEL","2"
"INNODB_BUFFER_POOL_INSTANCES","1"
"WSREP_RESTART_SLAVE","OFF"
"INNODB_UNDO_DIRECTORY","./"
"QUERY_CACHE_STRIP_COMMENTS","OFF"
"SSL_CERT","/tmp/actions-setup-mysql-etr4bJ/var/server-cert.pem"
"THREAD_CONCURRENCY","10"
"INNODB_FT_RESULT_CACHE_LIMIT","2000000000"
"SLAVE_LOAD_TMPDIR","/tmp/actions-setup-mysql-etr4bJ/tmp"
"WSREP_SYNC_WAIT","0"
"PERFORMANCE_SCHEMA_MAX_TABLE_INSTANCES","-1"
"WSREP_NODE_NAME","fv-az400-771"
"OLD","OFF"
"INNODB_ENCRYPTION_ROTATE_KEY_AGE","1"
"WSREP_PROVIDER","none"
"OPTIMIZER_TRACE","enabled=off"
"SKIP_EXTERNAL_LOCKING","ON"
"FT_STOPWORD_FILE","(built-in)"
"LOG_SLOW_FILTER","admin,filesort,filesort_on_disk,filesort_priority_queue,full_join,full_scan,query_cache,query_cache_miss,tmp_table,tmp_table_on_disk"
"INNODB_READ_AHEAD_THRESHOLD","56"
"INNODB_FLUSH_SYNC","ON"
"INNODB_READ_ONLY","OFF"
"CHECK_CONSTRAINT_CHECKS","ON"
"INNODB_IMMEDIATE_SCRUB_DATA_UNCOMPRESSED","OFF"
"DEFAULT_TMP_STORAGE_ENGINE",""
"INNODB_MONITOR_RESET_ALL",""
"LOG_DISABLED_STATEMENTS","sp"
"INNODB_OPTIMIZE_FULLTEXT_ONLY","OFF"
"DIV_PRECISION_INCREMENT","4"
"INNODB_STATS_METHOD","nulls_equal"
"DATETIME_FORMAT","%Y-%m-%d %H:%i:%s"
"SSL_CIPHER",""
"WSREP_TRX_FRAGMENT_SIZE","0"
"LOG_SLOW_RATE_LIMIT","1"
"ARIA_CHECKPOINT_INTERVAL","30"
"INNODB_THREAD_CONCURRENCY","0"
"WSREP_LOAD_DATA_SPLITTING","OFF"
"INNODB_BACKGROUND_SCRUB_DATA_UNCOMPRESSED","OFF"
"GTID_STRICT_MODE","OFF"
"INNODB_BUFFER_POOL_SIZE","134217728"
"SLAVE_TRANSACTION_RETRY_ERRORS","1158,1159,1160,1161,1205,1213,1429,2013,12701"
"LOCAL_INFILE","ON"
"LOG_OUTPUT","FILE"
"INNODB_BUFFER_POOL_LOAD_NOW","OFF"
"MAX_ALLOWED_PACKET","16777216"
"IGNORE_DB_DIRS",""
"SYSTEM_TIME_ZONE","UTC"
"BINLOG_CHECKSUM","CRC32"
"SLAVE_TRANSACTION_RETRIES","10"
"INNODB_PAGE_SIZE","16384"
"ARIA_PAGECACHE_FILE_HASH_SIZE","512"
"ARIA_ENCRYPT_TABLES","OFF"
"GTID_POS_AUTO_ENGINES",""
"PERFORMANCE_SCHEMA_EVENTS_STATEMENTS_HISTORY_LONG_SIZE","-1"
"UNIQUE_CHECKS","ON"
"RPL_SEMI_SYNC_MASTER_WAIT_POINT","AFTER_COMMIT"
"GENERAL_LOG_FILE","fv-az400-771.log"
"ARIA_CHECKPOINT_LOG_ACTIVITY","1048576"
"HAVE_RTREE_KEYS","YES"
"INNODB_FLUSH_LOG_AT_TRX_COMMIT","1"
"INNODB_FT_SERVER_STOPWORD_TABLE",""
"WSREP_PROVIDER_OPTIONS",""
"SLAVE_RUN_TRIGGERS_FOR_RBR","NO"
"MAX_PREPARED_STMT_COUNT","16382"
"COLUMN_COMPRESSION_THRESHOLD","100"
"WSREP_SST_DONOR",""
"WSREP_SST_RECEIVE_ADDRESS","AUTO"
"INNODB_COMPRESSION_PAD_PCT_MAX","50"
"ARIA_PAGECACHE_DIVISION_LIMIT","100"
"QUERY_CACHE_TYPE","OFF"
"IDENTITY","0"
"SKIP_REPLICATION","OFF"
"INNODB_DEFRAGMENT","OFF"
"MAX_TMP_TABLES","32"
"IN_PREDICATE_CONVERSION_THRESHOLD","1000"
"DELAYED_INSERT_TIMEOUT","300"
"INNODB_DEFRAGMENT_FILL_FACTOR_N_RECS","20"
"SQL_LOG_OFF","OFF"
"ARIA_PAGECACHE_AGE_THRESHOLD","300"
"INNODB_CMP_PER_INDEX_ENABLED","OFF"
"ARIA_RECOVER_OPTIONS","BACKUP,QUICK"
"INNODB_ONLINE_ALTER_LOG_MAX_SIZE","134217728"
"WSREP_TRX_FRAGMENT_UNIT","bytes"
"UPDATABLE_VIEWS_WITH_LIMIT","YES"
"SLAVE_SQL_VERIFY_CHECKSUM","ON"
"INNODB_BUFFER_POOL_LOAD_ABORT","OFF"
"SQL_LOG_BIN","ON"
"WARNING_COUNT","0"
"MYISAM_STATS_METHOD","NULLS_UNEQUAL"
"WSREP_REPLICATE_MYISAM","OFF"
